md1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
25,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
26,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
27,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
